day,hour,usual,current,date
6,10,36,100,2021-06-13
6,11,48,100,2021-06-13
6,12,58,14,2021-06-13
6,13,64,73,2021-06-13
6,14,66,100,2021-06-13
6,15,63,100,2021-06-13
6,16,56,100,2021-06-13
6,17,47,83,2021-06-13
6,18,36,100,2021-06-13
6,19,27,3,2021-06-13
6,20,19,11,2021-06-13
0,9,21,5,2021-06-14
0,10,34,38,2021-06-14
0,11,46,26,2021-06-14
0,12,51,53,2021-06-14
0,13,49,65,2021-06-14
0,14,44,44,2021-06-14
0,15,42,93,2021-06-14
0,16,44,41,2021-06-14
0,17,44,27,2021-06-14
0,18,38,12,2021-06-14
0,20,18,36,2021-06-14
0,21,9,49,2021-06-14
1,11,36,57,2021-06-15
1,12,39,76,2021-06-15
1,13,43,2,2021-06-15
1,14,46,4,2021-06-15
1,16,51,45,2021-06-15
1,18,47,72,2021-06-15
1,19,40,100,2021-06-15
1,20,30,62,2021-06-15
1,21,20,64,2021-06-15
2,11,55,1,2021-06-16
2,12,55,5,2021-06-16
2,13,52,53,2021-06-16
2,14,47,26,2021-06-16
1,13,40,78,2021-06-22
1,14,39,26,2021-06-22
1,15,44,14,2021-06-22
2,18,65,19,2021-06-23
2,18,65,19,2021-06-23
